Stock Symbol,Stock Market,Stock Name,INDEX
MOS,NYSE/NASDAQ,The Mosaic Company,['S&P 500']
MOTHERSON,NSE,Samvardhana Motherson International Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
MOTILALOFS,NSE,Motilal Oswal Financial Services Ltd.,['NIFTY500']
MPC,NYSE/NASDAQ,Marathon Petroleum,['S&P 500']
MPHASIS,NSE,MphasiS Ltd.,"['NIFTY500', 'NIFTY_IT']"
MPWR,NYSE/NASDAQ,Monolithic Power Systems,['S&P 500']
MRF,NSE,MRF Ltd.,['NIFTY500']
MRK,NYSE/NASDAQ,Merck & Co.,"['DOW JONES', 'S&P 500']"
MRNA,NYSE/NASDAQ,Moderna,['S&P 500']
MRPL,NSE,Mangalore Refinery & Petrochemicals Ltd.,['NIFTY500']
MRSH,NYSE/NASDAQ,Marsh McLennan,['S&P 500']
MS,NYSE/NASDAQ,Morgan Stanley,['S&P 500']
MSCI,NYSE/NASDAQ,MSCI Inc.,['S&P 500']
MSFT,NYSE/NASDAQ,Microsoft,"['DOW JONES', 'S&P 500']"
MSI,NYSE/NASDAQ,Motorola Solutions,['S&P 500']
MSUMI,NSE,Motherson Sumi Wiring India Ltd.,['NIFTY500']
MTB,NYSE/NASDAQ,M&T Bank,['S&P 500']
MTD,NYSE/NASDAQ,Mettler Toledo,['S&P 500']
MU,NYSE/NASDAQ,Micron Technology,['S&P 500']
MUTHOOTFIN,NSE,Muthoot Finance Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
NAM-INDIA,NSE,Nippon Life India Asset Management Ltd.,['NIFTY500']
NATCOPHARM,NSE,NATCO Pharma Ltd.,['NIFTY500']
NATIONALUM,NSE,National Aluminium Co. Ltd.,['NIFTY500']
NAUKRI,NSE,Info Edge (India) Ltd.,['NIFTY500']
NAVA,NSE,Nava Ltd.,['NIFTY500']
NAVINFLUOR,NSE,Navin Fluorine International Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
NBCC,NSE,NBCC (India) Ltd.,['NIFTY500']
NCC,NSE,NCC Ltd.,['NIFTY500']
NCLH,NYSE/NASDAQ,Norwegian Cruise Line Holdings,['S&P 500']
NDAQ,NYSE/NASDAQ,"Nasdaq, Inc.",['S&P 500']
NDSN,NYSE/NASDAQ,Nordson Corporation,['S&P 500']
NEE,NYSE/NASDAQ,NextEra Energy,['S&P 500']
NEM,NYSE/NASDAQ,Newmont,['S&P 500']
NESTLEIND,NSE,Nestle India Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_FMCG']"
NETWEB,NSE,Netweb Technologies India Ltd.,['NIFTY500']
NEULANDLAB,NSE,Neuland Laboratories Ltd.,['NIFTY500']
NEWGEN,NSE,Newgen Software Technologies Ltd.,['NIFTY500']
NFLX,NYSE/NASDAQ,Netflix,['S&P 500']
NH,NSE,Narayana Hrudayalaya Ltd.,['NIFTY500']
NHPC,NSE,NHPC Ltd.,['NIFTY500']
NI,NYSE/NASDAQ,NiSource,['S&P 500']
NIACL,NSE,The New India Assurance Company Ltd.,['NIFTY500']
NIVABUPA,NSE,Niva Bupa Health Insurance Company Ltd.,['NIFTY500']
NKE,NYSE/NASDAQ,"Nike, Inc.","['DOW JONES', 'S&P 500']"
NLCINDIA,NSE,NLC India Ltd.,['NIFTY500']
NMDC,NSE,NMDC Ltd.,['NIFTY500']
NOC,NYSE/NASDAQ,Northrop Grumman,['S&P 500']
NOW,NYSE/NASDAQ,ServiceNow,['S&P 500']
NRG,NYSE/NASDAQ,NRG Energy,['S&P 500']
NSC,NYSE/NASDAQ,Norfolk Southern,['S&P 500']
NSLNISP,NSE,NMDC Steel Ltd.,['NIFTY500']
NTAP,NYSE/NASDAQ,NetApp,['S&P 500']
NTPC,NSE,NTPC Ltd.,"['NIFTY50', 'NIFTY500']"
NTPCGREEN,NSE,NTPC Green Energy Ltd.,['NIFTY500']
NTRS,NYSE/NASDAQ,Northern Trust,['S&P 500']
NUE,NYSE/NASDAQ,Nucor,['S&P 500']
NUVAMA,NSE,Nuvama Wealth Management Ltd.,['NIFTY500']
NUVOCO,NSE,Nuvoco Vistas Corporation Ltd.,['NIFTY500']
