ScripID,ScripCode,ScripName,OurSectorClassification
531158,CATVISION PR,CAT VISION P (BSE code:531158)   ,Engineering
532974,ABML        ,Aditya Birla Money Limited (BSE code:532974)   ,Financial Services
519532,ASIAN TEA   ,Asian Tea and Exports Ltd(NDA) (BSE code:519532)   ,Agricultural Related
500032,BAJAJHIND.LT,Bajajhind.Lt (Bse Code: 500032 ),Sugar
946205,Barclays83  ,Barclays83  ,Un classified
946232,Edelf0g902  ,Edelf0g902  ,Un classified
533264,Electrosteel,Electrosteel,Steel
945754,Rankinvsr10 ,Rankinvsr10 ,Un classified
533263,Greenpower  ,Greenpower  ,Power
533262,Ramky Infra ,Ramky Infra ,Infrastructure Facilities
532671,HENKEL INDIA,Henkel India Ltd. (BSE code:532671)   ,Personal Care
532129,HEXAWARE TEC,Hexaware Technologies Limited (BSE code:532129)   ,IT
531642,MARICOLTD   ,Marico Limited (BSE code:531642)   ,Personal Care
531417,MEGA CORPN. ,Mega Corporation Ltd(NDA) (BSE code:531417)   ,Financial Services
507522,MOUNTT SHIV.,Mountt Shiv. (Bse Code: 507522 ),Breweries and Distilleries
532731,ROHIT FERRO ,Rohit Ferro-Tech Limited (BSE code:532731)   ,Steel
532734,GODAWARI POW,Godawari Power and Ispat Limited (BSE code:532734)   ,Steel
532737,EMKAY GLOB F,Emkay Share and Stock Brokers Limited (BSE code:532737)   ,Financial Services
532741,KAMDHENU    ,Kamdhenu Ispat Limited (BSE code:532741)   ,Steel
532746,UNITY INFRA ,Unity Infraprojects Limited (BSE code:532746)   ,Construction and Building Materials
532751,EASUNREYRL  ,Easun Reyrolle Ltd. (BSE code:532751)   ,Power
532755,TECH MAH    ,Tech Mahindra Limited (BSE code:532755)   ,IT
532758,KEW INDUSTR ,KEW Industries Limited (BSE code:532758)   ,Auto Ancillaries
532766,RICHA IND   ,Richa Industries Ltd (BSE code:532766)   ,Textile
532790,TANLA       ,Tanla Solutions Limited (BSE code:532790)   ,IT
532793,SHREE ASHTA ,Shree Ashtavinayak Cine Vision Limited (BSE code:532793)   ,Media and Entertainment
532804,TECHNOCRAFT ,Technocraft Industries (India) Limited (BSE code:532804)   ,Engineering
532808,PEARL FASHON,House of Pearl Fashions Limited (BSE code:532808)   ,Textile
532810,POWER FINAN ,Power Finance Corporation Limited (BSE code:532810)   ,Financial Services
532816,BROADCAST   ,Broadcast Initiatives Limited (BSE code:532816)   ,Media and Entertainment
532817,ORIENTAL    ,Oriental Trimex Limited (BSE code:532817)   ,Construction and Building Materials
532821,INDUSFILA   ,Indus Fila Limited (BSE code:532821)   ,Textile
532824,VIJAYES TEXT,Vijayeswari Textiles Limited (BSE code:532824)   ,Textile
532828,AMD INDUS   ,AMD Industries Ltd. (BSE code:532828)   ,Packaging
532829,LAWRESHWAR  ,Lawreshwar Polymers Ltd (BSE code:532829)   ,Fashion and personal items
532832,INDBUL REAL ,Indiabulls Real Estate Ltd. (BSE code:532832)   ,Real Estate
