Company name,Symbol
Birla Tyres Limited,NSE: BIRLATYRE
Birlasoft Limited,NSE: BSOFT
Bkm Industries Limited,NSE: BKMINDST
BLB Limited,NSE: BLBLIMITED
Bliss GVS Pharma Limited,NSE: BLISSGVS
BLS International Services Limited,NSE: BLS
Blue Chip India Limited,NSE: BLUECHIP
Blue Coast Hotels Limited,NSE: BLUECOAST
Blue Dart Express Limited,NSE: BLUEDART
Blue Star Limited,NSE: BLUESTARCO
Bodal Chemicals Limited,NSE: BODALCHEM
Bohra Industries Limited,NSE: BOHRA
Bombay Burmah Trading Corporation Limited,NSE: BBTC
Bombay Dyeing & Mfg Company Limited,NSE: BOMDYEING
Bombay Rayon Fashions Limited,NSE: BRFL
Bombay Super Hybrid Seeds Limited,NSE: BSHSL
Borosil Renewables Limited,NSE: BORORENEW
Bosch Limited,NSE: BOSCHLTD
BPL Limited,NSE: BPL
Brand Concepts Limited,NSE: BCONCEPTS
Brigade Enterprises Limited,NSE: BRIGADE
Bright Solar Limited,NSE: BRIGHT
Brightcom Group Limited,NSE: BCG
Britannia Industries Limited,NSE: BRITANNIA
Brooks Laboratories Limited,NSE: BROOKS
BSE Limited,NSE: BSE
BSEL Infrastructure Realty Limited,NSE: BSELINFRA
BSL Limited,NSE: BSL
Burnpur Cement Limited,NSE: BURNPUR
Butterfly Gandhimathi Appliances Limited,NSE: BUTTERFLY
Best Stock Advisory,NSE: BSD
C & C Constructions Limited,NSE: CANDC
Cadila Healthcare Limited,NSE: CADILAHC
Cadsys (India) Limited,NSE: CADSYS
California Software Company Limited,NSE: CALSOFT
Cambridge Technology Enterprises Limited,NSE: CTE
Camlin Fine Sciences Limited,NSE: CAMLINFINE
Can Fin Homes Limited,NSE: CANFINHOME
Canara Bank,NSE: CANBK
Cantabil Retail India Limited,NSE: CANTABIL
Capacit'e Infraprojects Limited,NSE: CAPACITE
Capital Trust Limited,NSE: CAPTRUST
Caplin Point Laboratories Limited,NSE: CAPLIPOINT
Capri Global Capital Limited,NSE: CGCL
Carborundum Universal Limited,NSE: CARBORUNIV
CARE Ratings Limited,NSE: CARERATING
Career Point Limited,NSE: CAREERP
Castex Technologies Limited,NSE: CASTEXTECH
Castrol India Limited,NSE: CASTROLIND
CCL Products (India) Limited,NSE: CCL
CEAT Limited,NSE: CEATLTD
Celebrity Fashions Limited,NSE: CELEBRITY
Central Bank of India,NSE: CENTRALBK
Central Depository Services (India) Limited,NSE: CDSL
Centrum Capital Limited,NSE: CENTRUM
Centum Electronics Limited,NSE: CENTUM
Century Enka Limited,NSE: CENTENKA
Century Extrusions Limited,NSE: CENTEXT
Century Plyboards (India) Limited,NSE: CENTURYPLY
Century Textiles & Industries Limited,NSE: CENTURYTEX
Cera Sanitaryware Limited,NSE: CERA
Cerebra Integrated Technologies Limited,NSE: CEREBRAINT
CESC Limited,NSE: CESC
CESC Ventures Limited,NSE: CESCVENT
CG Power and Industrial Solutions Limited,NSE: CGPOWER
Chalet Hotels Limited,NSE: CHALET
Chambal Fertilizers & Chemicals Limited,NSE: CHAMBLFERT
Chembond Chemicals Ltd,NSE: CHEMBOND
Chemcon Speciality Chemicals Limited,NSE: CHEMCON
Chemfab Alkalis Limited,NSE: CHEMFAB
Chennai Petroleum Corporation Limited,NSE: CHENNPETRO
Cholamandalam Financial Holdings Limited,NSE: CHOLAHLDNG
Cholamandalam Investment and Finance Company Limited,NSE: CHOLAFIN
Chromatic India Limited,NSE: CHROMATIC
Cigniti Technologies Limited,NSE: CIGNITITEC
CIL Nova Petrochemicals Limited,NSE: CNOVAPETRO
Cimmco Limited,NSE: CIMMCO
Cineline India Limited,NSE: CINELINE
Cinevista Limited,NSE: CINEVISTA
Cipla Limited,NSE: CIPLA
City Union Bank Limited,NSE: CUB
CKP Leisure Limited,NSE: CKPLEISURE
CKP Products Limited,NSE: CKPPRODUCT
CL Educate Limited,NSE: CLEDUCATE
Clariant Chemicals (India) Limited,NSE: CLNINDIA
CMI Limited,NSE: CMICABLES
CMM Infraprojects Limited,NSE: CMMIPL
Coal India Limited,NSE: COALINDIA
Cochin Shipyard Limited,NSE: COCHINSHIP
Coforge Limited,NSE: COFORGE
Colgate Palmolive (India) Limited,NSE: COLPAL
Commercial Engineers & Body Builders Co Limited,NSE: CEBBCO
Compuage Infocom Limited,NSE: COMPINFO
Compucom Software Limited,NSE: COMPUSOFT
Computer Age Management Services Limited,NSE: CAMS
Confidence Petroleum India Limited,NSE: CONFIPET
Consolidated Construction Consortium Limited,NSE: CCCL
Consolidated Finvest & Holdings Limited,NSE: CONSOFINVT
Container Corporation of India Limited,NSE: CONCOR
Continental Seeds and Chemicals Limited,NSE: CONTI
Control Print Limited,NSE: CONTROLPR
Coral India Finance & Housing Limited,NSE: CORALFINAC
Cords Cable Industries Limited,NSE: CORDSCABLE
Coromandel International Limited,NSE: COROMANDEL
Cosmo Films Limited,NSE: COSMOFILMS
Country Club Hospitality & Holidays Limited,NSE: CCHHL
Country Condo's Limited,NSE: COUNCODOS
Cox & Kings Financial Service Limited,NSE: CKFSL
Cox & Kings Limited,NSE: COX&KINGS
Creative Eye Limited,NSE: CREATIVEYE
Creative Peripherals and Distribution Limited,NSE: CREATIVE
CreditAccess Grameen Limited,NSE: CREDITACC
Crest Ventures Limited,NSE: CREST
CRISIL Limited,NSE: CRISIL
Crompton Greaves Consumer Electricals Limited,NSE: CROMPTON
Crown Lifters Limited,NSE: CROWN
CSB Bank Limited,NSE: CSBBANK
Cubex Tubings Limited,NSE: CUBEXTUB
Cummins India Limited,NSE: CUMMINSIND
Cupid Limited,NSE: CUPID
Cybertech Systems And Software Limited,NSE: CYBERTECH
Cyient Limited,NSE: CYIENT
D B Realty Limited,NSE: DBREALTY
D P Wires Limited,NSE: DPWIRES
D. P. Abhushan Limited,NSE: DPABHUSHAN
D.B.Corp Limited,NSE: DBCORP
Dabur India Limited,NSE: DABUR
Dalmia Bharat Limited,NSE: DALBHARAT
Dalmia Bharat Sugar and Industries Limited,NSE: DALMIASUG
Damodar Industries Limited,NSE: DAMODARIND
